Lambda,Baseline_Cost,Optimized_Cost,Cost_Saved,Final_Stations
0.005,645077.5168168715,644932.35320043,145.16361644142307,67
0.008,639307.5041740721,617892.4952438197,21415.0089302524,57
0.012,631369.8406231882,510135.6112996582,121234.22932352999,40
0.015,626260.340922203,420683.5932981881,205576.7476240149,32
0.02,619838.2430176366,300715.3003634066,319122.94265423,22
