station_id,longitude,latitude,robot_count
S_0,-63.5955747275,-68.58675999937499,16
S_1,-152.9246225,-78.32807325375,16
S_2,138.28509353125,-73.6680313575,16
S_3,-42.3883012025,-85.634291435,16
S_4,159.47769136875002,-83.322984538125,16
S_5,-152.48500750625,-87.43603639375,16
S_6,170.5897568,-86.17952068125001,16
S_7,155.85134696875002,-74.67100966375,16
S_8,-121.7813355875,-77.14611281124999,16
S_9,-8.190079537375,-73.943828970625,16
S_10,156.74853043125,-87.415867893125,16
S_11,124.3622076625,-77.921900624375,16
S_12,127.64434364375,-88.20153144374999,16
S_13,-30.929400316875,-80.22079748125,16
S_14,148.7345221625,-81.041278385,16
S_15,-134.04548855000002,-77.10843595687498,16
S_16,-1.393183166875,-77.13729567749999,16
S_17,121.50981903125,-81.966110490625,16
S_18,143.41986375625,-78.42796225937501,16
S_19,135.99362270625,-81.559727876875,16
S_20,145.37398411875,-87.325664521875,16
S_21,162.26520084375,-74.55844902375,16
S_22,-64.030369576875,-65.76759932,16
S_23,-126.7634047125,-81.62867044000001,16
S_24,129.44771285625,-81.56573768,16
S_25,55.84719533687501,-78.33348306124999,16
S_26,133.54901003125,-73.6151885475,16
S_27,-25.730404693125003,-82.88217204125,16
S_28,-19.008301764375,-85.376568225,16
S_29,-106.76736816875,-87.44370195312499,16
S_30,166.153087,-87.33050614187499,16
S_31,-56.763724156875,-86.371625976875,16
S_32,-153.51782100625002,-81.83440627375,16
S_33,-159.8031369625,-80.86945259625,16
S_34,126.78181386875,-72.9244436075,16
S_35,-123.24872605625,-87.32674501875,16
S_36,136.02660108125,-87.0996034875,16
S_37,-3.7165394981875,-82.582541059375,16
S_38,-67.72476630437501,-68.961257715625,16
S_39,176.71779069999997,-86.577787566875,16
S_40,113.321487225,-79.85837002937501,16
S_41,-105.5256398875,-80.13665521,16
S_42,-49.909129825,-80.60646494562499,16
S_43,-144.09446901875,-81.324276940625,16
S_44,-17.761152853124997,-79.79076284312501,16
S_45,30.14092645,-79.82592608062501,16
S_46,-34.172639113125,-87.256173739375,16
S_47,-9.4022236296875,-87.23525592375,16
S_48,149.5220699625,-87.010456913125,16
S_49,154.44614741874997,-78.2031666025,16
S_50,140.08136229375,-82.125379248125,16
S_51,-135.37298518125,-85.056454099375,16
S_52,-171.36765998124997,-87.934399990625,16
S_53,91.197734256875,-77.97451707562502,16
S_54,-117.06921984375,-82.273606435625,16
S_55,-71.304701320625,-76.87842885999999,16
S_56,132.1261400125,-77.636616203125,16
S_57,153.67322894375,-72.79000069375,16
S_58,-143.23223088125002,-86.89330577125,16
S_59,75.184470430625,-82.88711162375,16
S_60,-18.2170682416875,-80.30738584874999,16
S_61,144.06135106875,-75.56203637375,16
S_62,-97.769648746875,-81.4037743425,16
S_63,122.2129720125,-79.9408193875,16
S_64,-40.0354209154375,-83.56202802312501,16
S_65,137.986335813125,-84.24624868999999,16
S_66,-90.9935563885625,-80.64019074875,16
