Density_Type,Robot_Index,Robot_X,Robot_Y,Robot_Range,Assigned_Station_Index,Station_X,Station_Y,Need_Rescue
Low,26,-2.788789337,-85.55064819,95.9445066,0,-2.6387470478145665,-85.11868267722906,No
Low,27,-3.057658233,-87.11593386,18.16120881,0,-2.6387470478145665,-85.11868267722906,No
Low,28,-2.916914921,-84.57821187,68.70596309,0,-2.6387470478145665,-85.11868267722906,No
Low,29,-2.806205217,-83.84963021,101.8018641,1,6.904082164697613,-81.12511248407912,No
Low,30,-2.248256699,-81.4967853,117.8308293,0,-2.6387470478145665,-85.11868267722906,No
Low,31,-1.442293885,-79.2612069,68.7826577,1,6.904082164697613,-81.12511248407912,No
Low,32,-0.572531725,-76.15608059,66.2882125,1,6.904082164697613,-81.12511248407912,No
Low,33,-4.294199159,-87.56464064,111.8287983,0,-2.6387470478145665,-85.11868267722906,No
Low,34,47.98517343,-73.58899901,132.1130635,2,42.57412782591621,-78.62274241073358,No
Low,35,-4.368962144,-87.7757316,45.91397249,1,6.904082164697613,-81.12511248407912,No
Low,36,53.04295331,-85.60664357,125.5771562,2,42.57412782591621,-78.62274241073358,No
Low,37,49.32819152,-74.93841861,37.51146439,2,42.57412782591621,-78.62274241073358,No
Low,38,-3.92669667,-82.20217574,50.05366167,0,-2.6387470478145665,-85.11868267722906,No
Low,39,-2.694155067,-78.51500409,76.44399434,0,-2.6387470478145665,-85.11868267722906,No
Median,0,153.8103573,-80.68772,92.39251987,2,152.195974616479,-79.03504396831106,No
Median,1,153.4597986,-79.29420171,15.64322521,0,155.54797932994256,-80.57238045778789,No
Median,2,151.9880609,-81.30575142,153.1288355,2,152.195974616479,-79.03504396831106,No
Median,3,155.3415005,-82.0334303,97.01266557,1,154.26873054025532,-82.54368840226397,No
Median,4,155.7527897,-79.99522431,37.19316415,0,155.54797932994256,-80.57238045778789,No
Median,5,155.9431258,-79.90733806,30.7008178,2,152.195974616479,-79.03504396831106,No
Median,6,153.9661684,-78.38895741,120.0092536,0,155.54797932994256,-80.57238045778789,No
Median,7,156.0386733,-79.78842687,51.36047997,0,155.54797932994256,-80.57238045778789,No
Median,8,151.6356647,-79.36534653,107.8531606,2,152.195974616479,-79.03504396831106,No
Median,9,156.3508009,-79.83465019,39.45057144,0,155.54797932994256,-80.57238045778789,No
Median,10,156.4110045,-79.71547749,123.228442,0,155.54797932994256,-80.57238045778789,No
Median,11,154.30801,-83.52344305,93.94961774,1,154.26873054025532,-82.54368840226397,No
Median,12,156.6435689,-81.22738206,140.3080577,0,155.54797932994256,-80.57238045778789,No
Median,13,152.9546774,-77.51415149,81.70050095,2,152.195974616479,-79.03504396831106,No
Median,14,151.6364711,-78.22110857,110.7980497,2,152.195974616479,-79.03504396831106,No
Median,15,151.4398842,-83.51043419,91.64886386,1,154.26873054025532,-82.54368840226397,No
Median,16,157.6856977,-79.59185658,144.2089178,0,155.54797932994256,-80.57238045778789,No
Median,17,152.8599094,-84.8147718,126.0279208,1,154.26873054025532,-82.54368840226397,No
Median,18,150.0267642,-78.64705712,61.53416856,2,152.195974616479,-79.03504396831106,No
Median,19,149.8331434,-82.41535934,105.543294,2,152.195974616479,-79.03504396831106,No
Median,20,156.5714432,-84.10825648,52.50606108,1,154.26873054025532,-82.54368840226397,No
Median,21,156.4737568,-77.13632151,81.72901078,1,154.26873054025532,-82.54368840226397,No
Median,22,150.9049119,-84.20133774,55.5589267,2,152.195974616479,-79.03504396831106,No
Median,23,149.6798164,-78.67659517,42.74590341,0,155.54797932994256,-80.57238045778789,No
Median,24,157.3971561,-77.81169296,40.61990498,1,154.26873054025532,-82.54368840226397,No
Median,25,149.5781947,-82.65163704,97.2088825,2,152.195974616479,-79.03504396831106,No
Median,26,155.1692206,-76.18714334,101.523412,2,152.195974616479,-79.03504396831106,No
Median,27,148.9767028,-81.0128613,50.12009381,1,154.26873054025532,-82.54368840226397,No
Median,28,149.6634007,-78.1720362,114.5597133,2,152.195974616479,-79.03504396831106,No
Median,29,155.8651625,-76.20405164,93.87962889,0,155.54797932994256,-80.57238045778789,No
Median,30,158.029739,-78.00914754,88.96129054,0,155.54797932994256,-80.57238045778789,No
Median,31,156.5351142,-76.44179961,52.42417483,0,155.54797932994256,-80.57238045778789,No
Median,32,152.0015307,-75.90516292,78.65481631,2,152.195974616479,-79.03504396831106,No
Median,33,152.3075199,-75.67816427,79.72802914,0,155.54797932994256,-80.57238045778789,No
Median,34,159.0770393,-81.45274699,11.05260086,0,155.54797932994256,-80.57238045778789,No
Median,35,152.7132512,-75.45583328,78.76512141,2,152.195974616479,-79.03504396831106,No
Median,36,158.5014026,-83.31189537,62.37572334,0,155.54797932994256,-80.57238045778789,No
Median,37,159.2246543,-80.52025431,142.3393324,0,155.54797932994256,-80.57238045778789,No
Median,38,150.0930117,-84.92296248,42.72734629,1,154.26873054025532,-82.54368840226397,No
Median,39,153.6470526,-75.03090066,102.2453777,1,154.26873054025532,-82.54368840226397,No
