Scenario,Total_Cost,Build_Cost,Maintain_Cost,Rescue_Cost,Charge_Cost,Lower_Bound,Stations,Avg_Chargers
High,26554.990693057392,15000.0,10000.0,0.0,1554.9906930573889,26525.533563509307,3,6.666666666666667
Low,26760.97983343473,15000.0,10000.0,0.0,1760.9798334347277,26607.697797722805,3,6.666666666666667
Median,26611.200181418215,15000.0,10000.0,0.0,1611.200181418212,26556.764491622293,3,6.666666666666667
