robot_id,station_id
578,S_65
40,S_58
901,S_56
878,S_49
716,S_48
176,S_51
693,S_49
608,S_61
856,S_57
446,S_46
146,S_62
484,S_53
425,S_64
87,S_54
474,S_45
2,S_62
132,S_58
739,S_65
346,S_64
150,S_54
822,S_49
429,S_64
752,S_56
349,S_46
500,S_59
412,S_60
496,S_59
170,S_52
866,S_56
895,S_57
953,S_49
363,S_60
592,S_65
1026,S_58
643,S_49
460,S_45
1020,S_52
617,S_56
722,S_48
447,S_64
231,S_55
304,S_60
115,S_51
138,S_54
582,S_56
1045,S_58
298,S_60
962,S_49
194,S_51
996,S_55
546,S_63
794,S_48
42,S_62
860,S_50
249,S_47
618,S_49
29,S_58
126,S_54
213,S_54
768,S_63
861,S_49
637,S_50
543,S_63
297,S_64
660,S_63
99,S_54
293,S_60
1039,S_58
281,S_46
894,S_63
381,S_64
775,S_56
25,S_54
122,S_58
228,S_66
783,S_57
267,S_64
515,S_63
520,S_53
177,S_66
273,S_64
644,S_63
1035,S_58
888,S_61
413,S_60
0,S_54
509,S_63
800,S_48
691,S_56
558,S_50
290,S_47
930,S_56
603,S_65
766,S_63
1058,S_51
65,S_54
510,S_63
652,S_57
666,S_63
127,S_58
587,S_48
745,S_56
39,S_51
173,S_52
207,S_51
157,S_58
943,S_49
734,S_65
414,S_46
359,S_46
824,S_65
498,S_59
596,S_61
156,S_54
375,S_47
372,S_47
772,S_56
109,S_54
472,S_45
948,S_48
300,S_47
687,S_65
701,S_63
675,S_56
393,S_60
15,S_54
601,S_61
708,S_56
367,S_60
215,S_55
1050,S_58
443,S_64
728,S_61
707,S_49
733,S_49
797,S_63
59,S_62
461,S_45
547,S_61
720,S_48
45,S_51
874,S_49
980,S_55
418,S_47
1046,S_58
97,S_54
588,S_48
217,S_55
239,S_60
283,S_47
852,S_57
757,S_56
529,S_53
266,S_47
397,S_60
685,S_50
303,S_64
448,S_60
427,S_60
455,S_47
382,S_47
562,S_63
91,S_51
541,S_49
299,S_60
919,S_61
232,S_55
695,S_63
394,S_46
53,S_62
253,S_60
545,S_56
332,S_47
422,S_46
399,S_46
555,S_50
154,S_58
921,S_49
330,S_60
689,S_57
825,S_65
565,S_49
650,S_61
556,S_56
478,S_45
571,S_48
737,S_48
914,S_49
585,S_48
430,S_60
992,S_55
552,S_56
544,S_48
906,S_65
467,S_45
428,S_64
379,S_46
62,S_54
651,S_48
814,S_61
256,S_47
586,S_65
514,S_59
135,S_58
525,S_63
216,S_66
1016,S_55
909,S_57
956,S_57
782,S_50
287,S_47
337,S_47
658,S_65
503,S_53
247,S_47
92,S_58
628,S_50
791,S_48
806,S_57
945,S_57
959,S_57
975,S_55
836,S_61
362,S_46
785,S_57
620,S_65
786,S_65
732,S_50
202,S_54
504,S_53
4,S_52
767,S_57
694,S_65
495,S_53
738,S_57
94,S_54
168,S_58
67,S_51
116,S_51
98,S_62
96,S_62
867,S_48
834,S_57
1006,S_55
353,S_64
826,S_57
560,S_48
11,S_52
223,S_55
192,S_51
331,S_46
301,S_47
252,S_46
844,S_65
1000,S_55
199,S_51
272,S_46
307,S_46
284,S_46
563,S_65
871,S_61
873,S_61
877,S_61
516,S_59
988,S_55
286,S_46
313,S_64
462,S_45
357,S_64
667,S_50
932,S_61
559,S_61
999,S_55
43,S_62
684,S_50
1027,S_51
663,S_61
886,S_50
136,S_62
23,S_52
521,S_59
