station_id,longitude,latitude
S_33,-159.98058839375,-81.74823243
S_34,127.13331850624999,-73.43652982
S_35,-123.977363175,-87.302479543125
S_36,136.18355361875,-86.76107019187499
S_37,-3.6687978125,-82.755980470625
S_38,-65.96460221687501,-68.33118099749998
S_39,176.943566525,-86.33635819125
S_40,118.0797118,-79.91728581250001
S_41,-106.091921275,-81.16987526625
S_42,-49.909129825,-80.60646494562499
S_43,-143.91822359375,-81.412793060625
S_44,-18.181200365,-79.944511034375
S_45,32.52203046625,-80.04828144812501
S_46,-36.65583727,-86.956216895625
S_47,-7.61666747975,-86.09732019687499
S_48,149.5220699625,-87.010456913125
S_49,155.97075839374997,-78.763836955
S_50,140.50762863125,-81.96779201125
S_51,-135.24760011249998,-84.949630315625
S_52,-171.2905299875,-87.712682683125
S_53,91.197734256875,-77.97451707562502
S_54,-121.15687505,-82.069686286875
S_55,-68.9806076775,-69.699093713125
S_56,131.76380065625,-77.60026189749999
S_57,153.73945940625,-74.62115955812502
S_58,-142.28866961875,-87.0145718225
S_59,77.59048297562501,-83.11034362000001
S_60,-18.476202216875002,-80.161347336875
S_61,143.42615564375,-76.863550290625
S_62,-104.98462446875001,-81.50948415687499
S_63,122.6827349375,-77.92400256812499
S_64,-39.552285568125,-84.61263434374999
S_65,137.24797085625,-84.00160872125
S_66,-100.25747683374999,-81.664942941875
S_19,135.77481151875,-81.80400226812499
S_20,146.76580043125,-85.742422558125
S_21,162.26520084375,-74.55844902375
S_24,129.0660617375,-80.864979720625
S_26,134.77698019374998,-74.430161669375
S_31,-56.38118648625,-86.90289896499999
