Lambda,Baseline_Cost,Optimized_Cost,Cost_Saved
0.005,645077.5168168715,644932.35320043,145.16361644142307
0.008,639307.5041740721,639203.8507054194,103.65346865262836
0.012,631369.8406231882,631308.3398164448,61.500806743395515
0.015,626260.340922203,626211.649991456,48.6909307470778
0.02,619838.2430176366,619798.4912893928,39.7517282437766
